Listing_Date,Seller_Type,Sold_Status,Sold_Date,Listing_Year,Listing_Make,Listing_Model,Mileage,Condition,Price,Listing_Color,VIN,City,State,Listing_Body_Type,Listing_Transmission,Listing_Transmission_Detail,Drivetrain,Listing_Model_Detail,Listing_URL,Listing_Title,Listing_Description
"08-30-2017, 04:12 AM",Private Party,0,, 2019,Porsche,,25,Used, $150000, white,,,LA, Coupe,Auto, PDK,2WD,,https://rennlist.com/forums/showthread.php?t=1022915,2014 porsche cup car (15 updates),"For sale is a 2014 991 cup with 2015 upgrade package. 
25 hours on motor 
15 hours on gearbox
3 sets of wheels 
wand 
 

$155,000 
was bought from BOB at Competition Motorsports in Feb . 

pm for pics
		"
"08-02-2017, 05:22 PM",Private Party,0,, 2016,Porsche,Cayman,7503,Used, $103500, Dark Blue Metallic,,Keswick VA,, Coupe,Manual, Manual - 6 speed,2WD, Cayman GT4,https://rennlist.com/forums/showthread.php?t=1002763,Dark Blue Metallic GT4 - LWB,"Hi all, 

Selling this amazing car as i have a CSMR inbound and this car just gets me in trouble on the street.  

I ordered this car and it was one of the early cars in August of 15.  I am in Virginia and i picked it up at Manhattan motorcars.  it was covered in xpel tack wrap for the ride home and then was fully covered (everywhere) in xpel.  The car has seen a few road trips to Montreal, NYC, and ocean city.  other than that the miles are going out in the evening.  The car has seen 4 track weekends. (gets trailer'd to track)   (summit point and VIR)

did oil change early and then at 5k miles 
believe i put SRF in before first track weekend. 
had the air screens added at dealer 
Car has no headlight film right now (did not peel off stock coating)

PM might take a min to reply too.  you can email zspielman at embarqmail dot com 

silver stitching 
Car came with 18 way (early car) i found a person to get 400 mile buckets from and swapped. so car has the LWB with bolster protectors.
No extended leather 
std fuel tank 
premium sound (Sat radio)
sport chrono 
alacantara wheel and shifter 
no dual zone climate
no smoker package


Full expel everywhere 
track/street alignment 2.75/2.5 camber with tarret arms
rennline track mats (metal) - have original 
just added at 7K
brake caliper studs 
wheel studs 
BBI bar in black 
BBI sub mounts (passenger not yet installed)
Schroth belts in silver (passenger seat mod to accept) 

MSRP was 97,835 i also have salter uprights and BBS E88 with R888r on them that i will consider selling with the car at the right price.  (E88 are mooty old wheels and i will sell at same price he charged me (low))

let me know what questions you have.  car is located in VA.  willing to arrange shipping anywhere. 

Zach
		"
"09-07-2017, 04:12 PM",Dealer Inventory,0,, 2013,Porsche,911,13455,Used, $86980, Agate Grey,WP0CB2A99DS157018,Cleveland,, Coupe,Manual, Manual - 6 speed,4WD,,https://rennlist.com/forums/showthread.php?t=1024429,2013 Porsche C4S Cabriolet 7spd Manual,"This is a flawless example of a 991 C4S Cabriolet in a winning color combination with the desirable 7-speed manual, 3-pedal, shift-it-yourself gearbox. Agate Grey Metallic with a black top and Luxor Beige interior makes for a pleasing color combination and a departure from the norm. 
We acquired this car for a good client back in 2014 with just under 7k miles on the clock. It was perfect then, and he took excellent care of the car and it is as clean now as it was when we sold it the first time. This is a no-stories, original paint, unmodified, clean Carfax, accident free, non-smoker car. All service is up-to-date and the car is ready for a new owner to enjoy. 
The car comes with all orignial books, the original window sticker, both keys, and service records. 

Factory Options:
Agate Grey Metallic
Cabriolet Roof in Black
Luxor Beige Standard Interior
20-inch Carrera Classic wheel
Smoking package
Porsche Dynamic Light System
ParkAssist (front and rear)
SportDesign steering wheel
Power Sport Seats (14-way)
BOSE Audio Package
Premium Package Plus
Online Services

Full photo gallery:
https://www.switchcars.com/cars-for-...-c4s-cabriolet

Price and mileage for mobile users:
$86980
13455 miles

















		"
"08-08-2017, 06:24 PM",Dealer Inventory,0,, 2011,Porsche,911,18,New, $750000, Carrara White,WP0AF2A95BS785716,Houston Tx.,, Coupe,Manual, Manual - 6 speed,2WD, Race Cars,https://rennlist.com/forums/showthread.php?t=1005840,2011 911 GT3 RS 4.0   White Unicorn,"Hey guys, we have just acquired this 2011 GT3 RS 4.0 in Carrara White over Black Full Leather.

This one owner car has only 18 miles!!
The car has essentially never been driven, only by a service tech at the dealer each time it was serviced.

This is the Only 4.0 with the radio delete option and DZ Customization which includes the Illuminated Carbon Fiber Sills signed by Preuniger and Peter Franscka, the heads of Porsche Exclusive.

The car is still wrapped in its factory plastic on the door sills and emblems and comes with a complete history file from new as well as the original window sticker and COA.

Asking $750,000

The cars are on their way so I will post pics once they have arrived.

Just giving this community a heads up!

Please feel free to PM, call, text or email with any inquiries..

 John






































































		"
"09-05-2017, 10:37 PM",Private Party,0,, 2010,Porsche,911,32358,Used, $99000, Silver,WP0AC2A94AS783561,Phoenix,, Coupe,Manual, Manual - 6 speed,2WD, GT3,https://rennlist.com/forums/showthread.php?t=1024018,2010 GT3 Silver,"2010 Porsche 911 GT3 Silver / Black with 32,358 Miles / VIN: WP0AC2A94AS783561. Baby on the way, forcing sale of car ASAP. More info available to serious inquires.
		"
"09-07-2017, 02:02 PM",Private Party,0,, 1997,Porsche,,5000,Used, $3750, Aluminum,1XTXLVP29V1X00014,Pinehurst NC,, Coupe,Auto, Tiptronic,2WD,,https://rennlist.com/forums/showthread.php?t=1024412,1997 Trailex CT 7541,"1997 Trailex CT 7541 for sale.  This trailer is so good I have owned it twice!  I am upgrading to an enclosed trailer and no longer need this Trailex.  Tire rack and new lights.  Trailex recommends replacing all fasteners after 15 years, all fasteners are new.  Trailer is stored indoors and is located in Pinehurst NC.  Clear NC title in hand. Call or text 910.315.2918. $3750
		"
"09-06-2017, 09:55 PM",Private Party,0,, 2016,Porsche,Boxster,1600,Used, $104000, GT Silver,WP0CC2A82GS152669,,, Cabriolet,Manual, Manual - 6 speed,2WD,,https://rennlist.com/forums/showthread.php?t=1024197,2016 Boxster Spyder - GT Silver LWB's,"MSRP - $103240 - Well Spec'd low mileage Spyder in as new condition, Full paint correction with nano coating, always garaged, no issues, no stories.

GT Silver
Spyder Classic Interior Package
LWB's
Infotainment with Bose
Extended Interior Package - Door Panel with Leather/Alcantara
Light Design Package
Fire Extinguisher
Tinted Tailights
Storage Compartment Lid in Alcantara with Porsche Crest
Sun Visors in Alcantara
PDLS Plus
Wheels Painted Satin Black
Reversing Camera
Extended Range Tank
Smoking Package
Footrest and Pedals in Aluminum

		"
"09-07-2017, 03:45 PM",Dealer Inventory,0,, 2016,Porsche,911,3900,Used, $132500, jet black metallic,WP0AB2A91GS122761,Edison,NJ, Coupe,Auto, PDK,2WD,,https://rennlist.com/forums/showthread.php?t=1024424,2016 Porsche 911 GTS,"Hello Everyone!


Here is a 2016 Porsche 911 GTS with ONLY 3900 miles. It is Jet Black Metallic exterior with the GTS interior package.


It does have a full front clear bra and has a mesh grill installed behind the ducts of the front bumper.


Besides it being in immaculate condition, it has a valvetronic Fabspeed exhaust which does work with the sport exhaust button on the center console.


Please contact me directly if you have any interest  

"
"09-06-2017, 10:43 PM",Private Party,0,, 2015,Porsche,911,1,Used, $1, White,,Las Vegas,NV, Coupe,Auto, PDK,4WD,,https://rennlist.com/forums/showthread.php?t=1024343,WTB: 991 Turbo S,"Looking for a 2014-2016 991 Turbo S. Looking for black or white with less than 20k miles. Must have black or red interior. 

Thanks,
Anthony
		"
"09-06-2017, 05:08 PM",Private Party,0,, 2016,Porsche,,2900,Used, $135000, PTS Pantone Blue,WP0CC2A80GS152587,,, Cabriolet,Manual, Manual - 6 speed,2WD,,https://rennlist.com/forums/showthread.php?t=1024288,2016 Boxster Spyder PTS Pantone Blue,"2016 Porsche Boxster Spyder PTS Pantone Blue - only 1 made in this color. Hardback sport seats, PCCB, PDLS, CDR Audio, silver stitching, door handles and seat belts, extended fuel tank, wind deflector, bluetooth, smoking package, storage net in passenger footwell, manual ac, instrument surround, center console and inner leather door sills all in leather, platinum satin wheels, extended interior package in alcantara, deviated floor mats with leather edging, aluminum fuel cap, headlight cleaning system covers in exterior color, vehicle key painted and leather key pouch. Flawless example. $5k worth of clear bra on entire car. All books, keys, window sticker. Located in Scottsdale, AZ.

Will post interior pictures tomorrow.
		"
