VIN,Listing_Make,Listing_Model,Listing_Trim,Listing_Model_Detail,Listing_Year,Mileage,City,State,Listing_Date,Price,Condition,Seller_Type,VHR_Link,Listing_Exterior_Color,Listing_Interior_Color,Listing_Transmission,Listing_Transmission_Detail,Listing_Title,Listing_URL,Listing_Engine_Size,Listing_Description,Sold_Status,Sold_Date,Listing_Body_Type,Listing_Drivetrain
WP0CA298X8U712518,Porsche,Boxster,,Boxster,2008,38169,Boston,MA,"9-12-2017, 17:37",$23599.0,Used,Dealership,https://www.carmax.com/car/14296592/vehicle-history,Red,Tan,Manual,,2008 Porsche Boxster,https://www.carmax.com/car/14296592,2.7L,"Soft Top
 Leather Seats
 Alloy Wheels
 Traction Control
 Cruise Control
 Side Airbags
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 ABS Brakes
 Power Locks
 CD Audio
 Power Windows
 Power Mirrors
 Manual Transmission
 Power Seat(s)
 Bluetooth
 2WD
 Bose Sound System
 ",0,"9-12-2017, 17:37",,2WD
WP1AA2A24BLA03190,Porsche,Cayenne,,Cayenne,2011,52130,Hartford,CT,"9-12-2017, 17:37",$29998.0,Used,Dealership,https://www.carmax.com/car/14245452/vehicle-history,Silver,Black,Automatic,,2011 Porsche Cayenne,https://www.carmax.com/car/14245452,3.6L,"4WD/AWD
 Leather Seats
 Navigation System
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Rear Seat Heaters
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 ",0,"9-12-2017, 17:37",,4WD
WP1AB2A52FLB64344,Porsche,Macan,S,Macan S,2015,22231,Frederick,MD,"9-12-2017, 17:37",$47899.0,Used,Dealership,https://www.carmax.com/car/14549281/vehicle-history,Black,Black,Automatic,,2015 Porsche Macan,https://www.carmax.com/car/14549281,3.0L,"Premium Package
 Power Liftgate/DeckLid
 4WD/AWD
 Turbo Charged Engine
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Navigation System
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Memory Seat(s)
 Rear Seat Heaters
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 ",0,"9-12-2017, 17:37",,4WD
WP0AA2A80BU761091,Porsche,Cayman,,Cayman,2011,30956,White Marsh,MD,"9-12-2017, 17:37",$33899.0,Used,Dealership,https://www.carmax.com/car/14585793/vehicle-history,Red,Black,Manual,,2011 Porsche Cayman,https://www.carmax.com/car/14585793,2.9L,"Leather Seats
 Front Seat Heaters
 Navigation System
 Alloy Wheels
 Rear Spoiler
 Satellite Radio Ready
 Traction Control
 Cruise Control
 Auxiliary Audio Input
 Overhead Airbags
 Side Airbags
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 ABS Brakes
 Power Locks
 CD Audio
 Power Windows
 Power Mirrors
 Manual Transmission
 Power Seat(s)
 Bluetooth
 Convenience Package
 SiriusXM Trial Avail
 2WD
 Bose Sound System
 ",0,"9-12-2017, 17:37",,2WD
WP0AB2A76DL060813,Porsche,Panamera,S,Panamera S,2013,34026,Hartford,CT,"9-12-2017, 17:37",$47998.0,Used,Dealership,https://www.carmax.com/car/14723220/vehicle-history,White,Black,Automatic,,2013 Porsche Panamera,https://www.carmax.com/car/14723220,4.8L,"Premium Package
 Power Liftgate/DeckLid
 Leather Seats
 Parking Sensors
 Rear View Camera
 Navigation System
 Front Seat Heaters
 A/C Seat(s)
 Sunroof(s)
 Satellite Radio Ready
 Auxiliary Audio Input
 Memory Seat(s)
 Overhead Airbags
 ABS Brakes
 Alloy Wheels
 CD Audio
 Power Locks
 Side Airbags
 Traction Control
 20 Inch Plus Wheels
 Air Conditioning
 Power Mirrors
 Cruise Control
 Rear Defroster
 AM/FM Stereo
 Power Windows
 Rear Spoiler
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 2WD
 Bose Sound System
 ",0,"9-12-2017, 17:37",,2WD
WP1AB2A58GLB50269,Porsche,Macan,S,Macan S,2016,20715,Rochester,NY,"9-12-2017, 17:37",$54998.0,Used,Dealership,https://www.carmax.com/car/14606412/vehicle-history,Black,Black,Automatic,,2016 Porsche Macan,https://www.carmax.com/car/14606412,3.0L,"Premium Package
 Power Liftgate/DeckLid
 4WD/AWD
 Turbo Charged Engine
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Panoramic Sunroof
 Navigation System
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 20 Inch Plus Wheels
 Memory Seat(s)
 A/C Seat(s)
 Rear Seat Heaters
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Smart Key
 ",0,"9-12-2017, 17:37",,4WD
WP1AB2A51FLB51679,Porsche,Macan,S,Macan S,2015,24246,Boston,MA,"9-12-2017, 17:37",$51998.0,Used,Dealership,https://www.carmax.com/car/13631798/vehicle-history,Brown,Brown,Automatic,,2015 Porsche Macan,https://www.carmax.com/car/13631798,3.0L,"Premium Package
 Power Liftgate/DeckLid
 4WD/AWD
 Turbo Charged Engine
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Navigation System
 Front Seat Heaters
 Auxiliary Audio Input
 Adjustable Suspension
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 20 Inch Plus Wheels
 Memory Seat(s)
 Rear Seat Heaters
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Smart Key
 ",0,"9-12-2017, 17:37",,4WD
WP1AA2A27ELA07898,Porsche,Cayenne,,Cayenne,2014,21194,Newark,DE,"9-12-2017, 17:37",$44998.0,Used,Dealership,https://www.carmax.com/car/15062863/vehicle-history,White,Black,Automatic,,2014 Porsche Cayenne,https://www.carmax.com/car/15062863,3.6L,"Power Liftgate/DeckLid
 4WD/AWD
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Sunroof(s)
 Navigation System
 Tow Hitch
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Memory Seat(s)
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 ",0,"9-12-2017, 17:37",,4WD
WP1AB2A29ELA58378,Porsche,Cayenne,S,Cayenne S,2014,53464,Newport News,VA,"9-12-2017, 17:37",$41998.0,Used,Dealership,https://www.carmax.com/car/14904870/vehicle-history,Blue,Tan,Automatic,,2014 Porsche Cayenne,https://www.carmax.com/car/14904870,4.8L,"Power Liftgate/DeckLid
 4WD/AWD
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Panoramic Sunroof
 Navigation System
 Tow Hitch
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Memory Seat(s)
 A/C Seat(s)
 Rear Seat Heaters
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Rear Sunshade
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Smart Key
 Bose Sound System
 ",0,"9-12-2017, 17:37",,4WD
WP1AB2A5XFLB73633,Porsche,Macan,S,Macan S,2015,52816,White Marsh,MD,"9-12-2017, 17:37",$42899.0,Used,Dealership,https://www.carmax.com/car/14606597/vehicle-history,Black,Tan,Automatic,,2015 Porsche Macan,https://www.carmax.com/car/14606597,3.0L,"Premium Package
 Power Liftgate/DeckLid
 4WD/AWD
 Turbo Charged Engine
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Panoramic Sunroof
 Navigation System
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Memory Seat(s)
 A/C Seat(s)
 Rear Seat Heaters
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Smart Key
 ",0,"9-12-2017, 17:37",,4WD
