Id,VIN,Model,MSRP,CreateDate
7,WP1AC2A29BLA88280,2011 Porsche Cayenne Turbo E2,117730,2016-04-11 21:27:50.417000000
11,WP1AD2A27DLA70957,2013 Porsche Cayenne GTS,98015,2016-04-12 10:35:55.797000000
12,WP1AD2A22DLA77329,2013 Porsche Cayenne GTS,97610,2016-04-12 10:38:36.723000000
13,WP1AD2A25DLA73632,2013 Porsche Cayenne GTS,102675,2016-04-12 10:42:52.837000000
14,WP1AC2A22BLA81560,2011 Porsche Cayenne Turbo E2,125435,2016-04-12 10:50:22.753000000
15,WP1AC2A29BLA82480,2011 Porsche Cayenne Turbo E2,113185,2016-04-12 10:59:03.010000000
16,WP1AC2A20BLA82402,2011 Porsche Cayenne Turbo E2,120595,2016-04-12 11:00:01.250000000
17,WP1AC2A28CLA80060,2012 Porsche Cayenne Turbo E2,134105,2016-04-12 12:15:46.707000000
18,WP1AC2A21DLA92066,2013 Porsche Cayenne Turbo E2,125840,2016-04-12 12:59:21.257000000
19,WP1AC2A24CLA82422,2012 Porsche Cayenne Turbo,116885,2016-04-12 13:01:31.900000000
20,WP1AC2A23ELA85542,2014 Porsche Cayenne Turbo S,157200,2016-04-12 13:45:27.420000000
21,WP1AC2A28DLA92064,2013 Porsche Cayenne Turbo E2,130165,2016-04-12 13:46:48.970000000
22,WP1AC2A28BLA81241,2011 Porsche Cayenne Turbo E2,120350,2016-04-12 13:50:55.383000000
23,WP1AD2A22DLA72101,2013 Porsche Cayenne GTS,101465,2016-04-12 13:53:27.247000000
24,WP1AC2A28DLA90007,2013 Porsche Cayenne Turbo,125925,2016-04-13 07:59:21.400000000
25,WP1AC2A27DLA91536,2013 Porsche Cayenne Turbo,123055,2016-04-13 08:01:02.290000000
26,WP1AC2A29BLA82074,2011 Porsche Cayenne Turbo E2,120990,2016-04-15 19:06:17.487000000
28,WP1AC2A22DLA92884,2013 Porsche Cayenne Turbo E2,118410,2016-04-18 12:46:11.943000000
29,WP1AC2A25DLA93107,2013 Porsche Cayenne Turbo E2,127670,2016-04-27 21:52:47.677000000
30,WP1AC2A2XDLA92602,2013 Porsche Cayenne Turbo,182445,2016-05-06 09:55:08.137000000
31,WP1AC2A25CLA80016,2012 Porsche Cayenne Turbo E2,114055,2016-05-11 22:38:35.110000000
32,WP1AC2A21BLA86376,2011 Porsche Cayenne Turbo E2,132380,2016-05-17 21:20:49.450000000
1027,WP1AC2A20CLA82353,2012 Porsche Cayenne Turbo,124305,2016-06-01 19:41:35.097000000
1028,WP1AC2A2XBLA86313,2011 Porsche Cayenne Turbo E2,130680,2016-06-01 19:43:48.130000000
1029,WP1AC2A2XELA87921,2014 Porsche Cayenne Turbo S,150890,2016-06-03 14:15:51.590000000
1030,WP1AC2A29DLA91795,2013 Porsche Cayenne Turbo E2,125000,2016-06-03 15:19:06.623000000
2027,WP1AC2A22BLA81803,2011 Porsche Cayenne Turbo E2,118965,2016-06-20 16:30:23.310000000
