VIN,Listing_Make,Listing_Model,Listing_Trim,Listing_Model_Detail,Listing_Year,Mileage,City,State,Listing_Date,Price,Condition,Seller_Type,VHR_Link,Listing_Exterior_Color,Listing_Interior_Color,Listing_Transmission,Listing_Transmission_Detail,Listing_Title,Listing_URL,Listing_Engine_Size,Listing_Description,Sold_Status,Sold_Date,Listing_Body_Type,Listing_Drivetrain
WP0CA2A10FS800257,Porsche,POR918SPYD,,POR918SPYD,2015,865,Pompano Beach,FL,2018-02-11,2199999,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=477289486&make=POR&dealer_id=57876696&VIN=122|64|-7|-63|65|19|-4|100|79|-82|-37|-1|21|-6|-85|111|25|89|21|-85|115|-80|-47|-43|&partner=ATD_W,White,Black/Acid Green,Auto,,Used 2015 Porsche 918 Spyder,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=477289486&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=POR918SPYD,,"- Options: GLARE REDUCING INTERIOR PACKAGE, CUPHOLDER, LIFTING SYSTEM FRONT AXLE, PAINTED KEY W/LEATHER KEY POUCH, HOMELINK 315 MHZ, CARBON FLOORMAT W/ACID GREEN PIPING, BURMESTER HIGH-END SURROUND SOUND-SYSTEM, LIGHTWEIGHT BUCKET SEATS, AUTOMATIC AIR CONDITIONING, STONE SHIELD, SEAT BELTS W/ACCENT STRIPES ACID GREEN, WHITE, BLACK/ACID GREEN, LEATHER TRIM",0,2018-02-11,,AWD
WP0CA2A17FS800112,Porsche,POR918SPYD,,POR918SPYD,2015,1587,Houston,TX,2018-02-11,1490000,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=473156955&make=POR&dealer_id=100020486&VIN=122|64|-7|-63|65|19|-4|100|8|23|26|-70|-74|118|27|-116|-39|-96|116|-108|46|-49|50|69|&partner=ATD_W,Silver,Black/Acid Green,Auto,,Used 2015 Porsche 918 Spyder,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=473156955&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=POR918SPYD,,"BASE 918 Spyder 845,000.00",0,2018-02-11,,AWD
WP0CA2A19FS800371,Porsche,POR918SPYD,,POR918SPYD,2015,200,Fort Lauderdale,FL,2018-02-11,2100000,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=475192661&make=POR&dealer_id=63465261&VIN=122|64|-7|-63|65|19|-4|100|-28|-18|83|-119|9|47|-6|-85|76|-36|-18|19|-91|-11|97|-64|&partner=ATD_W,Silver,Red,Auto,,Used 2015 Porsche 918 Spyder,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=475192661&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=POR918SPYD,,"2015 Porsche 918 Spyder Weissach Package Ferrari-Maserati of Fort Lauderdale is thrilled to present this amazing Porsche 918 Spyder Weissach Package. Finished in GT Silver Metallic over Garnet Red leather with Silver Piping, the 918 Spyder Weissach has barely been driven and is in pristine condition. The Porsche Factory Warranty is in effect through December 27 of 2018, or up to 50,000 miles. Do not miss the rare opportunity to own a part of Porsche History as only 918 examples of the hyper-car were ever built, with less than 300 for the US market. This 918 Spyder has been specified with the Weissach Package (Weight Reduction: Magnesium Spyder Wheels, Lighter Brakes, Ceramic Wheel Bearings, Titanium Chassis Bolts, Additional Aerodynamic Aids, $84,000), Front Axle Lift System, Stone Guard, 2-Zone Automatic Climate Control, HomeLink, Electric Comfort Heating, Multifunction Sport Steering Wheel in Leather, Burmester High-End Surround Sound System with Storage Compartment, Metallic Paint, and Seat Pad for Lightweight Bucket Seats. The German hyper-car offering is the Porsche 918 Spyder. The successor to the legendary Porsche Carrera GT, the 918 Spyder has upped the ante with even more technological prowess. A high-revving motorsport-derived 4.6L V8 is paired with twin electric motors to create one of the most incredible sports cars ever conceived. All-Wheel-Drive ensures unflappable traction in the most demanding situations and is mated to a sophisticated 7-Speed Dual-Clutch Transmission. A lightweight Carbon Fiber body shell and advanced suspension aid its race-car like handling. This is the future! If you are in the market for a Porsche 918 Spyder with Weissach Package, please call or email us today.",0,2018-02-11,,AWD
WP0AC299XVS375768,Porsche,911,Turbo S Coupe,911 Turbo S Coupe,1997,17917,Bellevue,WA,2018-02-11,695000,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=459982789&make=POR&dealer_id=562938&VIN=28|50|66|-51|113|-45|-105|-35|5|-109|52|27|-67|88|43|0|45|-68|58|114|43|76|-45|29|&partner=ATD_W,Blue,Metropolitan Blue,Manual,,Used 1997 Porsche 911,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=459982789&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=911,,"Park Place Ltd is pleased to present one of the finest 993 Turbo S' on the market today. This 1997 Porsche Turbo S is finished in Cobalt Blue with Metropolitan Blue Leather Interior (1 of 1 in this color combination). One-owner Porsche with only 17,917 Miles From New. One of Only 182 Turbo S' Produced in 1997, and one of only two finished the desirable factory Cobalt Blue Metallic color. All Original Paint. Accompanied by Original Window Sticker, Porsche Certificate of Authenticity and complete Service Records Since New. 3.6L Air-Cooled flat six, twin-turbochargers with air-to-air intercoolers that produces a conservatively rated 450HP. 6-Speed manual gearbox, All-wheel drive.",0,2018-02-11,,AWD
WP0CA29875L001232,Porsche,CARRERAGT,,CARRERAGT,2005,4937,Houston,TX,2018-02-11,699991,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=476228929&make=POR&dealer_id=100020486&VIN=-37|64|-121|96|-80|-96|-118|20|-106|90|78|9|-93|-128|59|-41|64|-9|-88|-68|-58|-18|-104|-67|&partner=ATD_W,,Ascot Brown / Natural Black,Manual,,Used 2005 Porsche Carrera GT,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=476228929&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=CARRERAGT,,"Porsche North Houston proudly offers this beautiful 2005 Porsche Carrera GT in GT Silver Metallic over a Natural Black / Ascot Brown interior with 4,937 miles. Original M.S.R.P. $440,000. The Carrera GT is powered by a 5.7L V10 engine producing 605 hp and 435 lb-ft of torque through a Rear Wheel Drive and a 6-Speed Manual Transmission. This Carrera GT is further enhanced with the following:",0,2018-02-11,,2WD
WP0AC29928S792094,Porsche,911,GT3 RS Coupe,911 GT3 RS Coupe,2008,4067,Springfield,IL,2018-02-11,329900,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=473519777&make=POR&dealer_id=92153&VIN=28|50|66|-51|113|-45|-105|-35|72|-6|-76|87|-70|-84|28|-28|96|59|39|-52|20|33|-127|66|&partner=ATD_W,Green,Black With Green Stitching,Manual,,Used 2008 Porsche 911,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=473519777&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=911,,"We acquired this absolutely perfect 2008 Porsche 911 GT3 RS in 2014 and are excited to now offer this vehicle for sale. Condition wise, it is as good as it gets with near perfect paint plus full front clip clear bra and no signs of rock chips, abuse or track use whatsoever. It is a Carfax 1-owner vehicle which is extremely rare for a 997.1 RS and has zero over revs in all six ranges. The interior of the car is stunning with Porsche Exclusive Options including green deviated stitching throughout and exterior color matched trim pieces. With both original keys, books, original window sticker, exclusive options and impeccable owner history, this GT3 RS is the one to have. To learn more about acquiring this one of a kind example, please contact a Porsche sales specialist at 877-362-9715. Isringhausen Imports is Central Illinois' premier new car, used car and certified pre-owned (CPO) dealership for quality BMW, Porsche, Volvo and Mercedes-Benz vehicles. At Isringhausen Imports, we have become a leader in the industry by working each day towards the greater good of our customers, our fellow employees, and our community.",0,2018-02-11,,2WD
WP0AF2A99GS195347,Porsche,911,R Coupe,911 R Coupe,2016,92,FREEPORT,NY,2018-02-11,399000,Used,Dealership,https://www.autotrader.com/redirect/experian_forward.jsp?car_id=472593612,White,Tarpan Brown,Auto,,Certified 2016 Porsche 911,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=472593612&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=911,,2016 Porsche 911 R,0,2018-02-11,,2WD
WP0AF2A90GS195205,Porsche,911,GT3 RS Coupe,911 GT3 RS Coupe,2016,1051,BOSTON,MA,2018-02-11,399988,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=470706661&make=POR&dealer_id=100025982&VIN=113|-111|42|108|76|122|-80|46|-80|-121|56|7|110|-114|-124|-112|68|65|112|-69|25|10|104|-31|&partner=ATD_W,White,Brown,Auto,,Used 2016 Porsche 911,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=470706661&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=911,,"WE WELCOME YOUR TRADE! Air Conditioning Authentic Leather Auto-Dimming Mirrors with Integrated Rain Sensor BOSE Surround Sound System Door-Sill Guards in Carbon Fiber, Illuminated Extended Range Fuel Tank, 23.9 gal Fire Extinguisher Floor Mats Front Axle Lift System Fuel Cap with Aluminum Look Finish GT Sport Manual Transmission LED Headlights in Black with Porsche Dynamic Light System (PDLS) Light Design Package Luggage Net in Passenger Footwell Online Services Porsche Communication Management (PCM) incl. Navigation Module Preparation Door-Sill Guards, Illuminated Side Skirts Painted in Exterior Color Single-Mass Flywheel with Reinforced Clutch SiriusXM Satellite Radio, NavTraffic, NavWeather, and HD Radio Receiver Smoking Package Sport Chrono Package (Porsche Track Precision App and Preparation for Lap Trigger) Steering Column Casing in Leather 20' GT3 Wheels 911 R Stripes in Red",0,2018-02-11,,2WD
WP0EB0932KS070197,Porsche,911,Turbo Cabriolet,911 Turbo Cabriolet,1989,1313,Ontario,CA,2018-02-11,399930,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=437023742&make=POR&dealer_id=63525477&VIN=62|-28|-70|111|-127|55|122|123|42|63|49|105|-61|28|25|109|74|31|67|52|119|87|-102|26|&partner=ATD_W,Red,Tan,Manual,,Used 1989 Porsche 911,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=437023742&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=911,,ULTRA LOW MILES,0,2018-02-11,,2WD
WP0AF2A97GS195329,Porsche,911,GT3 RS Coupe,911 GT3 RS Coupe,2016,43,SOUTHAMPTON,NY,2018-02-11,404500,Used,Dealership,http://www.carfax.com/cfm/ccc_DisplayHistoryRpt.cfm?car_id=475643092&make=POR&dealer_id=66711615&VIN=113|-111|42|108|76|122|-80|46|68|-42|84|-69|-116|-19|12|-51|-57|-111|-12|53|-87|-25|-12|-89|&partner=ATD_W,White,Black/Brown,Auto,,Used 2016 Porsche 911,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=475643092&zip=94402&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D94402%26startYear%3D1981%26sortBy%3DderivedpriceDESC%26incremental%3Dall%26firstRecord%3D0%26endYear%3D2019%26makeCodeList%3DPOR%26searchRadius%3D0&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&makeCodeList=POR&searchRadius=0&makeCode1=POR&modelCode1=911,,"Introducing the 2016 Porsche 911! You'll appreciate its safety and convenience features! Porsche prioritized comfort and style by including: variably intermittent wipers, a headlight cleaning system, and air conditioning. Porsche made sure to keep road-handling and sportiness at the top of it's priority list. A 4 liter V-6 engine pairs with a sophisticated 7 speed automatic transmission, and for added security, dynamic Stability Control supplements the drivetrain. We have a skilled and knowledgeable sales staff with many years of experience satisfying our customers needs. They'll work with you to find the right vehicle at a price you can afford. We are here to help you.",0,2018-02-11,,2WD
