VIN,Listing_Make,Listing_Model,Listing_Trim,Listing_Model_Detail,Listing_Year,Mileage,City,State,Listing_Date,Price,Condition,Seller_Type,VHR_Link,Listing_Exterior_Color,Listing_Interior_Color,Listing_Transmission,Listing_Transmission_Detail,Listing_Title,Listing_URL,Listing_Engine_Size,Listing_Description,Sold_Status,Sold_Date,Listing_Body_Type,Listing_Drivetrain
WP0AB0949HN473351,Porsche,944,,944,1987,54939,St. Louis,MO ,2018-04-25,12900,Used,Dealership,,Black,Tan,Manual,,1987 Porsche 944,https://www.hemmings.com/classifieds/dealer/porsche/944/1899545.html,,"<p><strong>1987 Porsche 944</strong></p><ul><li><strong>One of 8,346 models exported to the US in 1987</strong></li><li><strong>5L inline four-cylinder</strong></li><li><strong>Five-speed manual transmission</strong></li><li><strong>Four-wheel disc brakes</strong></li><li><strong>Black exterior with tan interior</strong></li><li><strong>Documents include a Hagerty Vehicle Valuation Report, almost $10K in service and maintenance tickets, various small parts and miscellaneous items</strong></li></ul><p>Tired of looking for a classic Porsche and only finding various 911s? MotoeXotica has your answer – this 1987 Porsche 944. Designed to replace the 924, the 944 was slightly faster, better equipped and more refined than the 924; it had better handling, stopping power and was more comfortable to drive. The car had nearly even front-to-rear weight distribution (50.7% F/49.3% R) thanks to the rear transaxle balancing out the engine in the front.</p><p>Dressed in black on the outside, the car's finish is in very good condition, with overall minor blemishes on the fenders and doors visible upon close inspection. Its glass panes are clear but there is a chip on the passenger side of the windshield. The compound curved hatchback glass contains an electric defroster. This Porsche rolls on Sumitomo Touring LST radials, 215/60R15 at all four corners, surrounding Porsche “phone dial” alloy wheels. The car's body panels are straight and solid, the engine bay is tidy and the bumpers are in very good condition.</p><p>For the 944, Porsche re-worked the platform and added a new all-alloy 2.5 L inline-four engine that was, in essence, half of the 928's 5.0L V-8, although very few parts were actually interchangeable. Atypical in luxury sports cars, the four-cylinder engine was chosen for fuel efficiency and size, because it had to be fitted from below on the Neckarsulm, West Germany production line. To overcome roughness caused by the unbalanced secondary forces that are typical of four-cylinder engines, Porsche included two counter-rotating balance shafts running at twice engine speed. Invented in 1904 by British engineer Frederick Lanchester, and further developed and patented in 1975 by Mitsubishi Motors, balance shafts carry eccentric weights which produce inertial forces that balance out the unbalanced secondary forces, making a four-cylinder engine feel as smooth as a six-cylinder. Revised bodywork with wider wheel arches, similar to that of the 924 Carrera GT, a fresh interior and upgrades to the braking and suspension systems rounded out the major changes.</p><p>Inside, the tan bucket seats are in great shape and the matching carpet is in good condition. The black headliner is in similar good order save for wear at the base of both A-pillars, the two-tone instrument panel, black upper and tan lower is also in good order. All of the interior lighting, instruments, dome and cargo, were converted to LEDs in 2013. The factory four-spoke steering wheel is present and in good shape. Except for a blemish on the driver's side window crank, the door panels, mirrors, center console and shift lever are all in a similar state to the carpet and headliner. The cargo bay is in very good order except for the worn carpet at the hatch lid. Rounding out the interior is an Alpine AM/FM stereo.</p><p>In January 2007, the previous owner replaced the engine timing belt, timing belt tensioner, balance shaft belt, balance shaft tensioner, power steering and air conditioning belts. In April 2007, he replaced a pressure sensor, the fuel regulator, four spark plugs and the shifter handle. In May 2007, he replaced the clutch assembly, a fuel pressure dampener, various seals and other hardware. In November 2007, he ordered a standard rotor kit and Mahle oil filter and washer. He also had the front inner wheel seals replaced that month.</p><p>In January 2008, he had the front brakes rebuilt and replaced the sway bar bushings. He had new tires installed and balanced that same month. In February 2008, he had two tie rod ends replaced, a tune-up and a throttle response cam replaced. In March 2008, he had a new distributor cap installed, plus new spark plugs and wires. In April 2008, he had the cooling system pressure tested after a leak that stemmed from a previous accident. A new radiator was installed, a core support repaired and system again pressure tested to verify no leakage. In July 2008, he bought a new radiator fan, blower motor relay and oil filter. He had the fan motor replaced, along with its thermostatic switch. That month, he also ordered new lower control arms and a hatchback lock cylinder. He then had an outer tie rod end replaced and the control arms installed. In September 2008, he had a new radiator expansion tank fitted with new cap, replaced the clutch and brake pedal pads, replaced an upper radiator hose and other parts.</p><p>In April 2009, he ordered a new idle speed/air control valve, a new set of spark plugs, an oil filter and an intake manifold gasket. In May 2009, he ordered a throttle position sensor. He also ordered a fuel injector seal kit, an oil pressure switch and sending unit, a throttle body gasket, throttle body base and O-ring, a rubber mount, two hoses, a vacuum hose kit and a fuel cap that month.</p><p>In May 2012, he ordered gear oil, synthetic motor oil, an oil filter, a spark plug and regular motor oil. In August 2012, he ordered two control arm bushing assemblies, rebuilt lower control arms and there were two core charges.</p><p>In August 2013, he ordered a tie rod assembly, an A/C slider knob, a rear wiper cap, a complete LED instrument light kit, various LED bulbs and other assorted parts. Finally, he ordered a new set of Sumitomo tires for the car.</p><p>In mid-1985, the 944 underwent its first significant changes. These included a new dash and door panels, embedded radio antenna, upgraded alternator (from 90 to 115 amp), increased oil sump capacity, new front and rear cast alloy control arms and semi-trailing arms, larger fuel tank, optional heated and powered seats, Porsche Hi-Fi sound system and revisions in the mounting of the transaxle to reduce noise and vibration. The “cookie cutter” style wheels used in the early 944s were upgraded to new “phone dial” style wheels (Fuchs wheels remained an option).</p><p>More than 163,000 944s were produced, making it the most successful car line in Porsche history until the introductions of the Boxster and 997 Carrera.</p><p>Car includes documents include a Hagerty Vehicle Valuation Report, almost $10K in service and maintenance tickets, various small parts and miscellaneous items.</p><p>Competition to this 944 in 1987 included Lotus' Turbo Esprit, Chevrolet's Corvette, Maserati's Biturbo, Audi's Quattro, Nissan's 300ZX Turbo and BMW's M3.</p><p>This car is currently located at our facility in St. Louis, Missouri. Current mileage on the odometer shows 54,939 miles. It is sold as is, where is, on a clean and clear, mileage exempt title. GET OUT AND DRIVE!!!</p><p>VIN: WP0AB0949HN473351</p>             <p>             <b>Price: </b>$12,900               <br>                          <br>             <i>Financial transaction must be completed before release of vehicle and registration. Payment will be made via HemmingsPRO transaction platform powered by Proxibid. Buyer is responsible for transportation, taxes, and registration fees</i>                          </p>",0,04-25-2018,,
,Porsche,911SC,,911SC Porsche 911,1979,0,Ventura,CA ,2018-04-25,44900,Used,Dealership,,Factory Black,Factory Black Leather,Manual,,1979 Porsche 911SC Porsche 911 Sunroof Coupe,https://www.hemmings.com/classifieds/dealer/porsche/911sc/2098934.html,,"<p>Offered for your consideration is a beautifully restored 1979 Porsche 911SC Sunroof Coupe, factory black on black. Bare metal repaint, no rust ever, matching numbers, runs as good as it looks.</p><p>Please have a look at the car's full photo presentation on our Web site at</p><p><a href=""http://www.californiaclassix.com/garage/c1151.html"">http://www.californiaclassix.com/garage/c1151.html</a></p><p>or call us at 805-653-5551.</p>             <p>             <b>Price: </b>$44,900 obo               <br>                          <br>             <i>As is -- where is.</i>                          </p>",0,04-25-2018,,
WP0AA2967MS480245,Porsche,911,,911 2DR TURBO,1991,19884,Oyster Bay,NY ,2018-04-25,159964,Used,Dealership,,BLACK,BLACK,Auto,,1991 Porsche 911 2DR COUPE TURBO,https://www.hemmings.com/classifieds/dealer/porsche/911/2099565.html,,"www.ccsmotors.com 1991 PORSCHE 911 / 964 TURBO COUPE.  Stunning all black beauty with just 19k miles. $9k service just completed, Porsche classic radio just installed as well.  This car presents itself beautifully both inside and out and will  make its next owner very pleased.             <p>             <b>Price: </b>$159,964               <br>                          <br>             <i>Financial transaction must be completed before release of vehicle and registration. Payment will be made via HemmingsPRO transaction platform powered by Proxibid. Buyer is responsible for transportation, taxes, and registration fees</i>                          </p>",0,04-25-2018,,
9118210089,Porsche,911,,911,1978,118000,Portland,OR ,2018-04-25,0,Used,Dealership,,Red,Beige/Tan,Manual,,1978 Porsche 911 Convertible,https://www.hemmings.com/classifieds/dealer/porsche/911/2102811.html,,"1978 Porsche 911 SC TargaConverted to a Cabriolet, 118k miles, very strong running, fresh service and alignment.Summer is almost here, this is the perfect way to enjoy it!Call for details, Josh 503-475-8078 or Matt 503-819-9007.             <p>                            <br>                          </p>",0,04-25-2018,,
,Porsche,Boxster,,Boxster,2004,26424,Las Vegas,NV ,2018-04-25,26900,Used,Dealership,,GT Silver Metallic,Dark Brown,,,2004 Porsche Boxster Convertible,https://www.hemmings.com/classifieds/dealer/porsche/boxster/2102816.html,,"This 2004 Porsche Boxster 2dr S 550 Spyder Anniversary Edition features a 3.2L FLAT 6 CYLINDER 6cyl Gasoline engine. It is equipped with a Automatic transmission. The vehicle is GT Silver Metallic with a Dark Brown Full Leather interior. It is offered As-Is, not covered by a warranty. - Air Conditioning, Climate Control, Power Steering, Power Windows, Power Door Locks, Power Mirrors, Leather Steering Wheel, Clock, Tachometer, Telescoping Steering Wheel, Driver Airbag, Passenger Airbag, Side Airbags, Keyless Entry, Rear Defogger, Fog Lights, Intermittent Wipers, AM/FM, Anti-Theft, Full Leather Interior Surface, Cup Holders, Heated Mirrors, Rear Spoiler, Rear Spoiler, Remote Trunk Lid, Vanity Mirrors - Contact Internet Sales at 702-818-1031 or <a data-toggle=""modal"" href=""#myModal"" id=""contact-seller""> [Email Dealer] </a> for more information. -             <p>             <b>Price: </b>$26,900               <br>                          </p>",0,04-25-2018,,
,Porsche,911,,911,2008,10414,Ontario,CA ,2018-04-25,129997,Used,Dealership,,Black,Black,,,2008 Porsche 911 Coupe,https://www.hemmings.com/classifieds/dealer/porsche/911/2102827.html,,"Very clean 997.1 GT3 Rare 2008 model year (most are 2007). Original books and MSRP -             <p>             <b>Price: </b>$129,997               <br>                          </p>",0,04-25-2018,,
,Porsche,911,,911 Cabriolet,2003,29536,Fairfield,CA ,2018-04-25,39990,Used,Dealership,,Silver,Gray,,,2003 Porsche 911 Cabriolet,https://www.hemmings.com/classifieds/dealer/porsche/911/2102852.html,,"Awesome low mileage 2003 Porsche 911 Carrera 4 Cabriolet.  Like new condition throughout and exceptional performance! <p>This 2003 Porsche 911 Carrera 4 2 Door Cabriolet <strong>(Stock # F13298</strong>) is available in our Fairfield, CA showroom and any inquiries may be directed to us at <strong>707-419-8200</strong> or by email at <a data-toggle=""modal"" href=""#myModal"" id=""contact-seller""> [Email Dealer] </a>().  Be sure to mention <strong>Stock #</strong> <strong>F13298</strong> as well.</p><p>Legal Disclosures: Specialty Sales Classics has advertised and sold thousands of classic cars since our founding in 1978. We strongly encourage any and all buyers who are unable to view the vehicle in-person to perform a Pre-Purchase Inspection (by an independent party of their choosing) prior to the purchase.  Given the age of many of our vehicles, it is extremely difficult to adequately describe all aspects of each vehicles condition in the limited space available and we have learned that these Pre-Purchase Inspections are helpful to all parties involved.</p><p>The information presented for this vehicle is deemed reliable, but is not guaranteed as a basis of purchase.  The Buyer should make a thorough, independent inspection and investigation of the vehicle prior to purchase.</p>               <p>             <b>Price: </b>$39,990               <br>                          </p>",0,04-25-2018,,
WPOJBOP25GS862602,Porsche,928S,,928S,1986,31849,Redmond,WA ,2018-04-25,51900,Used,Dealership,,Iris Blue,Pearl White/ Ocean Blue Full Leather,Manual,,1986 Porsche 928S,https://www.hemmings.com/classifieds/dealer/porsche/928s/2037655.html,,"<p>For the model year of 1985, the USA bound 928 was upgraded from 4.7 to 5.0 liters pushing 288 horsepower, one of the highest numbers in a production GT car of its day with 54 more hp than the previous 928S. A new 16-valve head was designed with different valve timing and centrally located spark plugs allowing greater torque.  For mid year 86', larger bembo brakes were also fitted to increase stopping performance. These cars are referred to as 1986.5 model years and are the last of the original styled body before the redesign in 1987 of the 928S4.  The 928S was the flagship performance GT car of its day and still holds its own in modern company.  </p><p><strong>The desirable 5-Speed manual gearbox 928S on offer here is a truly unique and very original example, finished in stunning Iris Blue Metallic over an extremely rare Pearl White and Ocean Blue full leather cabin. The car was complted on June 2, 1986 and was sold new at Hermosa Beach Porsche on August 8, 1986 remaining in California until late 2014. The car has only 31,849 miles and is currently part of a Porsche collection in WA.  The options include; full leather interior, dual power seats, deleted side rub strips, power sunroof,  sport shock absorbers, HiFi sound, high speed engine cooling fan, CA emissions, and dealer optional chromed factory 16-inch wheels with painted crests. The car also has period upgrades consisting of an Alpine cassette stereo with 6-disk CD changer and a Clifford alarm system, both function as intended.  </strong></p><p><strong>Recently this 928 had a annual service performed, front brake calipers rebuilt, all 4 brake hoses replaced, new shift bushings fitted , new rear hatch release actuator, new front and rear deck lid lift struts, and a new battery installed. The car is an amazing time capsule wearing its original paint, all electronics function as designed, the car is extremely dry underneath, the timing belt was replaced in 2013 and the leather interior is like new with no sun damage or excess wear.  All electrics function as designed, and t</strong><strong>he car is complete with the original owners books, both keys, tool kit, collapsible spare tire, compressor, and original sales brochure.  The Porsche Certificate of Authenticity verifies that the engine/gearbox are correct matching numbers and the undercarriage still retains the original factory applied cosmoline coating.   There are no signs of any surface corrosion to any suspension itmes, body/chassis components, or exhaust systems.  </strong></p><p><strong>This 928 has somehow managed to withstand the laws of time, aging gracefully while not visibly showing its years and will reward its next owner with loyal companionship for many more miles ahead.  </strong><strong>The Porsche 928S is a true joy to drive on road trips, it has gobs of torque that will entice you to keep on driving, finding as many twisty roads as you can discover.  With values now on a steady rise for low mileage, original cars, now is the perfect time to invest in these 80's icons of German engineering.</strong></p>             <p>             <b>Price: </b>$51,900               <br>                          </p>",0,04-25-2018,,
WP0AA0945GN453597,Porsche,944,,944,1986,63497,Lenexa,KS ,2018-04-25,14900,Used,Dealership,,Red,Black,Auto,,1986 Porsche 944,https://www.hemmings.com/classifieds/dealer/porsche/944/2099082.html,,"<p>This 1986 Porsche 944 is in great shape and runs as good as it looks. It is a 2 owner that has been meticulously cared for as evidence of the 2 folders that are very organized with every bit of information about the car and in the condition of the car. Comes with the bill of sale, window sticker, full maintainence records. Very clean inside and out. Drives like a dream.</p>             <p>             <b>Price: </b>$14,900               <br>                          </p>",0,04-25-2018,,
,Porsche,911,,911 RS Clone,1973,0,Beverly Hills,CA ,2018-04-25,49500,Used,Dealership,,Viper Green,,Manual,,1973 Porsche 911 RS Clone,https://www.hemmings.com/classifieds/dealer/porsche/911/2099106.html,,"<p>1973 Porsche 911 RS Clone</p><p>This stunning 1973 Porsche 911 RS Clone comes in a gorgeous viper green with black Carrera script and black Recaro racing seats. It is equipped with a 2.4 liter with a manual transmission, MOMO steering wheel, MSD ignition, roll cage and Fuchs wheels. A very presentable and great car for vintage racing which is mechanically sound.</p><p>For $49,500 USD</p><p>If you have any additional questions Please call 310-975-0272</p><p>Check out our YouTube Channel: <a href=""http://www.youtube.com/user/BevHillsCarClubInc"">http://www.youtube.com/user/BevHillsCarClubInc</a></p>             <p>             <b>Price: </b>$49,500               <br>                          </p>",0,04-25-2018,,
