listing_model_detail,seller_type,listing_url,listing_transmission,vin,site,mileage,results_per_page,is_single_result,search_term,id,sold_date,city,listing_date,listing_color,listing_make,state,listing_transmission_detail,sold_status,vhr_link,listing_year,ranking,listing_body_type,listing_description,price,drive_train,condition,listing_title,url,total_matches,scraped_results_per_page,listing_model
2015 Porsche Macan,Dealership,,Automatic,WP1AB2A51FLB51679,www.carmax.com,24246,20,,Porsche,,"9-15-2017, 15:43",Boston,"9-15-2017, 15:43",Brown,Porsche,MA,,,,2015,1,,"Premium Package
 Power Liftgate/DeckLid
 4WD/AWD
 Turbo Charged Engine
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Navigation System
 Front Seat Heaters
 Auxiliary Audio Input
 Adjustable Suspension
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 20 Inch Plus Wheels
 Memory Seat(s)
 Rear Seat Heaters
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Smart Key
 ",49998.0,4WD,Used,2015 Porsche Macan,https://www.carmax.com/car/13631798,158,20,Macan
2015 Porsche Macan,Dealership,,Automatic,WP1AB2A5XFLB73633,www.carmax.com,52816,20,,Porsche,,"9-15-2017, 15:44",White Marsh,"9-15-2017, 15:44",Black,Porsche,MD,,,,2015,6,,"Premium Package
 Power Liftgate/DeckLid
 4WD/AWD
 Turbo Charged Engine
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Panoramic Sunroof
 Navigation System
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Memory Seat(s)
 A/C Seat(s)
 Rear Seat Heaters
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Smart Key
 ",42899.0,4WD,Used,2015 Porsche Macan,https://www.carmax.com/car/14606597,158,20,Macan
2012 Porsche Boxster,Dealership,,Manual,WP0CB2A84CS730218,www.carmax.com,17872,20,,Porsche,,"9-15-2017, 15:45",Mechanicsburg,"9-15-2017, 15:45",Silver,Porsche,PA,,,,2012,5,,"Soft Top
 Leather Seats
 Front Seat Heaters
 Navigation System
 Alloy Wheels
 Rear Spoiler
 Memory Seat(s)
 Satellite Radio Ready
 Traction Control
 Cruise Control
 Auxiliary Audio Input
 Side Airbags
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 ABS Brakes
 Power Locks
 CD Audio
 Power Windows
 Power Mirrors
 Manual Transmission
 Power Seat(s)
 Bluetooth
 Convenience Package
 SiriusXM Trial Avail
 2WD
 Bose Sound System
 ",42998.0,2WD,Used,2012 Porsche Boxster,https://www.carmax.com/car/14619135,158,20,Boxster
2016 Porsche Cayenne Hybrid,Dealership,,Automatic,WP1AE2A25GLA58341,www.carmax.com,10033,20,,Porsche,,"9-15-2017, 15:45",Laurel,"9-15-2017, 15:45",Black,Porsche,MD,,,,2016,8,,"Premium Package
 Power Liftgate/DeckLid
 4WD/AWD
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Panoramic Sunroof
 Navigation System
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Memory Seat(s)
 A/C Seat(s)
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Bose Sound System
 Super Charged Engine
 ",60899.0,4WD,Used,2016 Porsche Cayenne Hybrid,https://www.carmax.com/car/14927517,158,20,Cayenne Hybrid
2014 Porsche Cayenne,Dealership,,Automatic,WP1AB2A27ELA56726,www.carmax.com,45377,20,,Porsche,,"9-15-2017, 15:45",Salisbury,"9-15-2017, 15:45",Blue,Porsche,MD,,,,2014,7,,"Power Liftgate/DeckLid
 4WD/AWD
 Leather Seats
 Parking Sensors
 Rear View Camera
 Sunroof(s)
 Navigation System
 Tow Hitch
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Memory Seat(s)
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 Blind Spot Monitor
 Lane Departure Warning
 ",43998.0,4WD,Used,2014 Porsche Cayenne,https://www.carmax.com/car/14996125,158,20,Cayenne
2015 Porsche Macan,Dealership,,Automatic,WP1AF2A5XFLB95569,www.carmax.com,24403,20,,Porsche,,"9-15-2017, 15:45",Laurel,"9-15-2017, 15:45",White,Porsche,MD,,,,2015,9,,"Premium Package
 Power Liftgate/DeckLid
 4WD/AWD
 Turbo Charged Engine
 Full Leather Interior
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Panoramic Sunroof
 Navigation System
 Front Seat Heaters
 Auxiliary Audio Input
 Adjustable Suspension
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 20 Inch Plus Wheels
 Memory Seat(s)
 A/C Seat(s)
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Smart Key
 Lane Departure Warning
 Bose Sound System
 ",59998.0,4WD,Used,2015 Porsche Macan,https://www.carmax.com/car/14863266,158,20,Macan
2014 Porsche Cayenne,Dealership,,Automatic,WP1AA2A22ELA90057,www.carmax.com,37529,20,,Porsche,,"9-15-2017, 15:45",Frederick,"9-15-2017, 15:45",Black,Porsche,MD,,,,2014,10,,"Power Liftgate/DeckLid
 4WD/AWD
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Sunroof(s)
 Navigation System
 Tow Hitch
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Memory Seat(s)
 A/C Seat(s)
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Smart Key
 Bose Sound System
 ",44899.0,4WD,Used,2014 Porsche Cayenne,https://www.carmax.com/car/14904288,158,20,Cayenne
2014 Porsche 911,Dealership,,Automatic,WP0AA2A98ES107397,www.carmax.com,23257,20,,Porsche,,"9-15-2017, 15:45",Boston,"9-15-2017, 15:45",Black,Porsche,MA,,,,2014,3,,"Leather Seats
 Parking Sensors
 Front Seat Heaters
 Navigation System
 Sunroof(s)
 Alloy Wheels
 Rear Spoiler
 Memory Seat(s)
 20 Inch Plus Wheels
 Satellite Radio Ready
 Traction Control
 Cruise Control
 Auxiliary Audio Input
 Overhead Airbags
 Side Airbags
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 ABS Brakes
 Power Locks
 CD Audio
 Power Windows
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 2WD
 Bose Sound System
 ",61998.0,2WD,Used,2014 Porsche 911,https://www.carmax.com/car/14433969,158,20,911
2016 Porsche Macan,Dealership,,Automatic,WP1AB2A58GLB50269,www.carmax.com,20715,20,,Porsche,,"9-15-2017, 15:45",Rochester,"9-15-2017, 15:45",Black,Porsche,NY,,,,2016,4,,"Premium Package
 Power Liftgate/DeckLid
 4WD/AWD
 Turbo Charged Engine
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Panoramic Sunroof
 Navigation System
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 20 Inch Plus Wheels
 Memory Seat(s)
 A/C Seat(s)
 Rear Seat Heaters
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Smart Key
 ",54998.0,4WD,Used,2016 Porsche Macan,https://www.carmax.com/car/14606412,158,20,Macan
2014 Porsche Cayenne,Dealership,,Automatic,WP1AA2A27ELA09974,www.carmax.com,22957,20,,Porsche,,"9-15-2017, 15:45",Woodbridge,"9-15-2017, 15:45",Black,Porsche,VA,,,,2014,17,,"Power Liftgate/DeckLid
 4WD/AWD
 Leather Seats
 Satellite Radio Ready
 Parking Sensors
 Rear View Camera
 Sunroof(s)
 Navigation System
 Tow Hitch
 Front Seat Heaters
 Auxiliary Audio Input
 Cruise Control
 Alloy Wheels
 Overhead Airbags
 Traction Control
 Side Airbags
 Memory Seat(s)
 AM/FM Stereo
 Rear Defroster
 Air Conditioning
 Power Windows
 ABS Brakes
 Power Locks
 CD Audio
 Power Mirrors
 Automatic Transmission
 Power Seat(s)
 Bluetooth
 SiriusXM Trial Avail
 Bose Sound System
 ",44998.0,4WD,Used,2014 Porsche Cayenne,https://www.carmax.com/car/14803731,158,20,Cayenne
